번호,발생시각,규모,깊이(km),위도,경도,위치
418,2009.8.15 3:18,2.6,,36.52 N,129.61 E,경북 영덕군 북동쪽 23km 해역
417,2009.7.30 9:27,2.6,,35.85 N,126.29 E,전북 부안군 위도 북쪽 27km 해역
416,2009.7.17 13:14,2.5,,38.45 N,126.15 E,북한 황해북도 평산 서북서쪽 25km 지역
415,2009.7.15 4:04,3,,35.14 N,125.10 E,전남 신안군 흑산면 북북서쪽 61km 해역
414,2009.7.1 8:55,2.6,,37.84 N,124.94 E,인천 백령도 남동쪽 30km 해역
413,2009.6.29 11:52,2.7,,37.14 N,126.00 E,인천 옹진군 덕적도 서남서쪽 16km 해역
412,2009.6.28 22:07,3,,35.78 N,128.29 E,경북 고령군 북북동쪽 7km 지역
411,2009.6.25 13:05,2.2,,39.43 N,126.11 E,북한 평안남도 성천 서북서쪽 15km 지역
410,2009.6.20 21:14,2.2,,38.03 N,126.62 E,북한 개성 북동쪽 8km 지역
409,2009.6.20 4:05,2.9,,37.09 N,124.74 E,충남 태안군 서격렬비도 북서쪽 89km 해역
408,2009.6.6 1:56,2.4,,35.09 N,125.06 E,전남 신안군 흑산면 북서쪽 62km 해역
407,2009.6.6 0:49,2.8,,38.63 N,127.44 E,북한 강원 회양 서남서쪽 16km 지역
406,2009.6.3 20:09,2.9,,38.57 N,126.50 E,북한 황해북도 신계 북북서쪽 9km 지역
405,2009.6.3 15:56,2.4,,33.19 N,126.33 E,제주 서귀포시 서남서쪽 18km 해역
404,2009.5.31 15:24,2.3,,38.60 N,126.43 E,북한 황해북도 신계 북서쪽 14km 지역
403,2009.5.31 0:10,2.5,,33.52 N,125.85 E,제주 제주시 서쪽 63km 해역
402,2009.5.26 18:59,2.2,,36.57 N,129.22 E,경북 영양군 남동쪽 14km 지역
401,2009.5.25 18:12,2.4,,36.95 N,129.33 E,경북 울진군 남서쪽 8km 지역
400,2009.5.15 22:41,2.4,,36.59 N,126.41 E,충남 태안군 남남동쪽 20km 해역
399,2009.5.14 20:50,2.2,,36.25 N,127.13 E,충남 논산시 북쪽 11km 지역
398,2009.5.2 12:28,2.9,,36.57 N,128.71 E,경북 안동시 서북서쪽 2km 지역
397,2009.5.2 7:58,4,,36.56 N,128.71 E,경북 안동시 서남서쪽 2km 지역
396,2009.4.29 12:15,2.9,,33.43 N,127.36 E,제주 서귀포시 성산 동쪽 45km 해역
395,2009.4.21 17:44,2,,35.45 N,128.21 E,경남 의령군 북북서쪽 15km 지역
394,2009.4.18 20:19,2.5,,33.39 N,127.07 E,제주 서귀포시 성산 동쪽 18km 해역
393,2009.4.14 4:51,2.5,,38.45 N,125.65 E,북한 황해북도 사리원 서남서쪽 11km 지역
