"","CUS_ID","T_USAGE","PAGEVIEWS","GENDER","SCHOOL","LOCATION"
"1836",4213,479800,20257,"여자","대학원졸","서울"
"1837",4214,254062,5925,"여자","대졸","서울"
"1838",4220,408944,17803,"여자","대졸","서울"
"1839",4222,584954,12526,"여자","고졸","서울"
"1840",4223,168773,11341,"남자","대졸","서울"
"1841",4224,761229,31839,"남자","대졸","그외"
"1842",4227,238685,11734,"남자","대졸","그외"
"1843",4229,666118,24649,"남자","대학원졸","그외"
"1844",4232,254807,7047,"남자","고졸","그외"
"1845",4233,282528,11023,"남자","대졸","그외"
"1846",4235,204029,10208,"남자","고졸","서울"
"1847",4240,500141,18141,"남자","대졸","그외"
"1848",4242,503145,18531,"남자","고졸","서울"
"1849",4244,724231,27798,"남자","대학원졸","그외"
"1850",4245,488870,25527,"남자","중졸이하","그외"
"1851",4246,909057,54164,"여자","대졸","그외"
"1852",4247,242283,8649,"남자","대학원졸","그외"
"1853",4251,95538,5882,"여자","대학원졸","서울"
"1854",4253,192426,8012,"남자","고졸","그외"
"1855",4256,734028,37261,"여자","대졸","그외"
"1856",4258,71133,3900,"남자","대졸","그외"
"1857",4261,376063,11140,"남자","대졸","그외"
"1858",4263,509905,35288,"여자","대졸","그외"
"1859",4265,674057,13362,"남자","대학원졸","그외"
"1860",4267,532898,25002,"여자","고졸","서울"
"1861",4268,425779,14764,"여자","대졸","서울"
"1862",4269,406683,29183,"여자","대졸","서울"
"1863",4272,661796,20110,"여자","대졸","서울"
"1864",4273,148628,3755,"여자","대학원졸","서울"
"1865",4274,205166,7796,"여자","대학원졸","그외"
"1866",4277,1264339,37814,"남자","대학원졸","서울"
"1867",4279,390646,13661,"남자","대학원졸","그외"
"1868",4283,447284,18581,"여자","대졸","서울"
"1869",4284,690771,25981,"남자","대학원졸","그외"
"1870",4286,786649,43508,"여자","대졸","서울"
"1871",4288,660739,25437,"남자","대학원졸","그외"
"1872",4291,293271,11097,"남자","대졸","그외"
"1873",4292,783352,22063,"남자","대졸","그외"
"1874",4293,231126,15155,"여자","대졸","그외"
"1875",4294,102406,3384,"남자","고졸","그외"
"1876",4296,64538,1925,"여자","고졸","서울"
"1877",4297,1011607,42394,"남자","고졸","서울"
"1878",4299,258884,10886,"여자","대졸","서울"
"1879",4300,375554,13311,"남자","대학원졸","그외"
"1880",4301,464762,15750,"남자","고졸","서울"
"1881",4306,680363,26005,"남자","고졸","서울"
"1882",4307,929263,36007,"남자","대졸","서울"
"1883",4308,587086,20576,"남자","대학원졸","그외"
"1884",4312,431584,10413,"여자","대졸","서울"
"1885",4313,537315,32221,"남자","대졸","서울"
"1886",4315,252043,9782,"남자","대졸","그외"
"1887",4316,1208188,31414,"남자","대학원졸","그외"
"1888",4318,251894,12281,"여자","고졸","서울"
"1889",4323,206890,12774,"여자","대졸","그외"
"1890",4325,95552,2828,"남자","대학원졸","그외"
"1891",4327,287584,25891,"남자","고졸","서울"
"1892",4329,688672,21671,"여자","대졸","서울"
"1893",4330,499202,17213,"여자","대졸","그외"
"1894",4331,1041758,44450,"여자","대졸","서울"
